,X,Y
0,-39.14097268757465,-34.55482827977548
1,-33.11838520927583,-25.98722608906651
2,-36.54220106023019,-33.08727428330918
3,-35.273400035663386,-30.455866834228683
4,-35.871185520318086,-33.072944846369246
5,-45.81415768029378,-31.343896276799015
6,-37.126123023142576,-26.077647534122335
7,-38.33020585738575,-29.339257194343872
8,-37.38198038669819,-33.64767926562392
9,-46.36671973639824,-29.520660894673824
10,-40.15251784653655,-37.3960257331712
11,-34.228450459845675,-34.08934982461922
12,-38.54584404217183,-35.534319399780294
13,-34.77403210700798,-30.23417285093724
14,-42.87723790014798,-29.577199944234295
15,-42.94006904822926,-26.92778390129301
16,-46.42192628540488,-32.23953934739351
17,-37.38951555488061,-25.712019524955622
18,-44.44675509900622,-28.224840220041
19,-49.9344208667722,-29.661431090524445
20,-35.816416475506344,-29.76602882710262
21,-46.53133753532882,-34.00353489645068
22,-35.39728245837818,-31.46149406388842
23,-26.227532975769694,-33.835143499174606
24,-33.089525055533514,-33.242448815849514
25,-36.82742009022987,-31.53493495643195
26,-35.778827320845565,-34.898670297936185
27,-37.63286957621696,-31.399060223244273
28,-43.115684014004806,-36.041800981820245
29,-36.977377152732245,-31.137998218449898
30,-40.54464177386079,-39.36823223340587
31,-41.303539730055846,-38.860436118198315
32,-39.51505231102262,-30.75487025637901
33,-42.23593514487193,-28.955066366264873
34,-40.43010659879146,-31.453936928986373
35,-28.888751822847848,-35.359925778749606
36,-38.36444034829581,-34.54279872417895
37,-44.046936321169056,-33.11662430507829
38,-34.90249107478381,-29.449203642995666
39,-41.96789630279383,-28.175706698307497
